X,Y,Volume
494599.850,4038573.626,495.414
494609.850,4038573.626,395.708
494619.850,4038573.626,250.818
494629.850,4038573.626,346.446
494639.850,4038573.626,523.191
494649.850,4038573.626,544.730
494659.850,4038573.626,571.861
494669.850,4038573.626,551.193
494679.850,4038573.626,556.891
494689.850,4038573.626,553.905
494699.850,4038573.626,602.221
494709.850,4038573.626,460.724
494609.850,4038583.626,-285.359
494619.850,4038583.626,-223.546
494629.850,4038583.626,-167.253
494639.850,4038583.626,149.822
494649.850,4038583.626,268.092
494659.850,4038583.626,576.970
494669.850,4038583.626,578.052
494679.850,4038583.626,620.646
494689.850,4038583.626,626.353
494699.850,4038583.626,599.556
494709.850,4038583.626,452.201
494659.850,4038593.626,-91.083
494669.850,4038593.626,74.547
494679.850,4038593.626,243.967
494689.850,4038593.626,409.348
494699.850,4038593.626,610.733
494709.850,4038593.626,159.156
